Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Nigeria,NGA,2010,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,2020668
Nigeria,NGA,2009,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1904611
Nigeria,NGA,2008,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1740013
Nigeria,NGA,2005,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1815337
Nigeria,NGA,2004,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1790937
Nigeria,NGA,2003,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,1402260
Nigeria,NGA,2001,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,938717
Nigeria,NGA,2010,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,981192
Nigeria,NGA,2009,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,850818
Nigeria,NGA,2008,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,871739
Nigeria,NGA,2005,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,883325
Nigeria,NGA,2004,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,876396
Nigeria,NGA,2003,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,669714
Nigeria,NGA,2001,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,446099
Nigeria,NGA,2010,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,27.46221
Nigeria,NGA,2009,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,21.76418
Nigeria,NGA,2008,Percentage of enrolment in pre-primary education in private institutions (%),SE.PRE.PRIV.ZS,21.87397
Nigeria,NGA,2008,"Teachers in pre-primary education, both sexes (number)",SE.PRE.TCHR,60189
Nigeria,NGA,2008,"Teachers in pre-primary education, female (number)",SE.PRE.TCHR.FE,39005
Nigeria,NGA,2008,Percentage of teachers in pre-primary education who are female (%),SE.PRE.TCHR.FE.ZS,64.8042
Nigeria,NGA,2016,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,12155241
Nigeria,NGA,2014,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,12545408
Nigeria,NGA,2013,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,12657191
Nigeria,NGA,2012,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,12006534
Nigeria,NGA,2011,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,11196466
Nigeria,NGA,2010,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,10060007
Nigeria,NGA,2009,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,9712962
Nigeria,NGA,2008,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,9230924
Nigeria,NGA,2007,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,9893864
Nigeria,NGA,2006,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,10369793
Nigeria,NGA,2005,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,9926359
Nigeria,NGA,2004,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,9571016
