Year,"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)"
1991,43.7299995422363,67.6500015258789,55.4500007629395,0.769999980926514,62.4900016784668,81.3600006103516,71.1900024414062
2003,43.3199996948242,66.7699966430664,54.7700004577637,0.769999980926514,60.5099983215332,78.129997253418,68.9899978637695
2006,64.25,76.129997253418,70.1999969482422,0.899999976158142,74.5,83.120002746582,78.6900024414062
2007,,,,,70.18,,
2008,,,,0.657324850559235,51.6,78.5,66.78
2011,,,,,79.84,,
2013,,,,0.821051418781281,70.75,86.17,79.16
2016,49.060001373291,68.120002746582,58.2200012207031,0.860000014305115,67.120002746582,78.4300003051758,72.9599990844727
2019,,81.5846860649535,,,,88.1255017771483,
2021,53.25,73.7300033569336,63.1599998474121,0.889999985694885,69.0500030517578,77.7799987792969,73.6699981689453
2024,62.4199981689453,78.4300003051758,70.4100036621094,1.0,81.4300003051758,81.3099975585938,81.3600006103516
